,CO2 per cápita (toneladas métricas),intervalos,frecuencias
518,6.011268671,"(-0.00042, 19.969]",8744.0
519,5.823804338,"(-0.00042, 19.969]",8744.0
520,8.582936643,"(-0.00042, 19.969]",8744.0
521,8.641569017,"(-0.00042, 19.969]",8744.0
522,8.835688047,"(-0.00042, 19.969]",8744.0
523,9.226439909,"(-0.00042, 19.969]",8744.0
524,9.759073431,"(-0.00042, 19.969]",8744.0
525,10.622321391,"(-0.00042, 19.969]",8744.0
526,10.328092438,"(-0.00042, 19.969]",8744.0
527,10.955624799,"(-0.00042, 19.969]",8744.0
528,11.210167708,"(-0.00042, 19.969]",8744.0
529,11.60055435,"(-0.00042, 19.969]",8744.0
530,11.802890541,"(-0.00042, 19.969]",8744.0
531,11.80911757,"(-0.00042, 19.969]",8744.0
532,11.951631555,"(-0.00042, 19.969]",8744.0
533,12.779686846,"(-0.00042, 19.969]",8744.0
534,12.559668731,"(-0.00042, 19.969]",8744.0
535,12.659899806,"(-0.00042, 19.969]",8744.0
536,12.416791777,"(-0.00042, 19.969]",8744.0
537,13.231896139,"(-0.00042, 19.969]",8744.0
538,14.069858615,"(-0.00042, 19.969]",8744.0
539,14.12909198,"(-0.00042, 19.969]",8744.0
540,15.024916009,"(-0.00042, 19.969]",8744.0
541,15.432500837,"(-0.00042, 19.969]",8744.0
542,15.424931809,"(-0.00042, 19.969]",8744.0
543,14.64008413,"(-0.00042, 19.969]",8744.0
544,15.220975296,"(-0.00042, 19.969]",8744.0
545,15.308410204,"(-0.00042, 19.969]",8744.0
546,14.980573153,"(-0.00042, 19.969]",8744.0
547,15.746957802,"(-0.00042, 19.969]",8744.0
548,15.796167782,"(-0.00042, 19.969]",8744.0
549,16.519862915,"(-0.00042, 19.969]",8744.0
550,15.461262108,"(-0.00042, 19.969]",8744.0
551,15.133906735,"(-0.00042, 19.969]",8744.0
552,15.322589368,"(-0.00042, 19.969]",8744.0
553,15.706018169,"(-0.00042, 19.969]",8744.0
554,15.581309941,"(-0.00042, 19.969]",8744.0
555,15.600982846,"(-0.00042, 19.969]",8744.0
556,16.506005898,"(-0.00042, 19.969]",8744.0
557,16.516649619,"(-0.00042, 19.969]",8744.0
558,16.940007429,"(-0.00042, 19.969]",8744.0
559,17.192235232,"(-0.00042, 19.969]",8744.0
560,17.202524409,"(-0.00042, 19.969]",8744.0
561,16.735067481,"(-0.00042, 19.969]",8744.0
562,17.372317799,"(-0.00042, 19.969]",8744.0
563,16.906198166,"(-0.00042, 19.969]",8744.0
564,17.030341326,"(-0.00042, 19.969]",8744.0
565,17.174386265,"(-0.00042, 19.969]",8744.0
566,17.293873823,"(-0.00042, 19.969]",8744.0
567,17.467002247,"(-0.00042, 19.969]",8744.0
568,17.704079683,"(-0.00042, 19.969]",8744.0
569,17.631833051,"(-0.00042, 19.969]",8744.0
570,16.710904354,"(-0.00042, 19.969]",8744.0
571,16.519209917,"(-0.00042, 19.969]",8744.0
572,4.373318828,"(-0.00042, 19.969]",8744.0
573,4.496361641,"(-0.00042, 19.969]",8744.0
574,4.755361673,"(-0.00042, 19.969]",8744.0
575,5.155193747,"(-0.00042, 19.969]",8744.0
576,5.391003988,"(-0.00042, 19.969]",8744.0
577,5.252196533,"(-0.00042, 19.969]",8744.0
578,5.361724683,"(-0.00042, 19.969]",8744.0
579,5.417736727,"(-0.00042, 19.969]",8744.0
580,5.711110104,"(-0.00042, 19.969]",8744.0
581,6.006325178,"(-0.00042, 19.969]",8744.0
582,6.788807307,"(-0.00042, 19.969]",8744.0
583,6.953651912,"(-0.00042, 19.969]",8744.0
584,7.448516814,"(-0.00042, 19.969]",8744.0
585,7.930866985,"(-0.00042, 19.969]",8744.0
586,7.562697278,"(-0.00042, 19.969]",8744.0
587,7.176844855,"(-0.00042, 19.969]",8744.0
588,7.721250012,"(-0.00042, 19.969]",8744.0
589,7.428063284,"(-0.00042, 19.969]",8744.0
590,7.601371804,"(-0.00042, 19.969]",8744.0
591,8.158846402,"(-0.00042, 19.969]",8744.0
592,6.928479,"(-0.00042, 19.969]",8744.0
593,7.416160614,"(-0.00042, 19.969]",8744.0
594,7.112124941,"(-0.00042, 19.969]",8744.0
595,6.874373273,"(-0.00042, 19.969]",8744.0
596,7.214278667,"(-0.00042, 19.969]",8744.0
597,7.230766353,"(-0.00042, 19.969]",8744.0
598,7.144304852,"(-0.00042, 19.969]",8744.0
599,7.623419815,"(-0.00042, 19.969]",8744.0
600,7.032030698,"(-0.00042, 19.969]",8744.0
601,7.102448997,"(-0.00042, 19.969]",8744.0
602,7.518022233,"(-0.00042, 19.969]",8744.0
603,7.94835195,"(-0.00042, 19.969]",8744.0
604,7.229977927,"(-0.00042, 19.969]",8744.0
605,7.227191928,"(-0.00042, 19.969]",8744.0
606,7.194347413,"(-0.00042, 19.969]",8744.0
607,7.527052401,"(-0.00042, 19.969]",8744.0
608,7.943997858,"(-0.00042, 19.969]",8744.0
609,7.869650771,"(-0.00042, 19.969]",8744.0
610,7.987899893,"(-0.00042, 19.969]",8744.0
611,7.747095213,"(-0.00042, 19.969]",8744.0
612,7.762359194,"(-0.00042, 19.969]",8744.0
613,8.180002892,"(-0.00042, 19.969]",8744.0
614,8.287318901,"(-0.00042, 19.969]",8744.0
615,8.874662113,"(-0.00042, 19.969]",8744.0
616,8.844004368,"(-0.00042, 19.969]",8744.0
617,9.027746201,"(-0.00042, 19.969]",8744.0
618,8.733506631,"(-0.00042, 19.969]",8744.0
619,8.405092793,"(-0.00042, 19.969]",8744.0
620,8.262046031,"(-0.00042, 19.969]",8744.0
621,7.608851293,"(-0.00042, 19.969]",8744.0
622,8.127692863,"(-0.00042, 19.969]",8744.0
623,7.769983423,"(-0.00042, 19.969]",8744.0
656,7.813362639,"(-0.00042, 19.969]",8744.0
657,6.586411474,"(-0.00042, 19.969]",8744.0
658,5.617069764,"(-0.00042, 19.969]",8744.0
659,4.356500976,"(-0.00042, 19.969]",8744.0
660,4.059066212,"(-0.00042, 19.969]",8744.0
661,3.803022741,"(-0.00042, 19.969]",8744.0
662,4.00297561,"(-0.00042, 19.969]",8744.0
663,3.579835395,"(-0.00042, 19.969]",8744.0
664,3.666271029,"(-0.00042, 19.969]",8744.0
665,3.547105484,"(-0.00042, 19.969]",8744.0
666,3.623944346,"(-0.00042, 19.969]",8744.0
667,3.718169927,"(-0.00042, 19.969]",8744.0
668,3.863229639,"(-0.00042, 19.969]",8744.0
669,4.091801927,"(-0.00042, 19.969]",8744.0
670,4.616299863,"(-0.00042, 19.969]",8744.0
671,3.5553401,"(-0.00042, 19.969]",8744.0
672,4.051383481,"(-0.00042, 19.969]",8744.0
673,3.565668218,"(-0.00042, 19.969]",8744.0
674,3.388225879,"(-0.00042, 19.969]",8744.0
675,3.647379147,"(-0.00042, 19.969]",8744.0
678,0.015202573,"(-0.00042, 19.969]",8744.0
679,0.016154716,"(-0.00042, 19.969]",8744.0
680,0.015827251,"(-0.00042, 19.969]",8744.0
681,0.011909579,"(-0.00042, 19.969]",8744.0
682,0.015115038,"(-0.00042, 19.969]",8744.0
683,0.014735443,"(-0.00042, 19.969]",8744.0
684,0.016581181,"(-0.00042, 19.969]",8744.0
685,0.021615415,"(-0.00042, 19.969]",8744.0
686,0.018032098,"(-0.00042, 19.969]",8744.0
687,0.020908925,"(-0.00042, 19.969]",8744.0
688,0.020674675,"(-0.00042, 19.969]",8744.0
689,0.020469155,"(-0.00042, 19.969]",8744.0
690,0.02529766,"(-0.00042, 19.969]",8744.0
691,0.020942939,"(-0.00042, 19.969]",8744.0
692,0.023502041,"(-0.00042, 19.969]",8744.0
693,0.025881431,"(-0.00042, 19.969]",8744.0
694,0.026207124,"(-0.00042, 19.969]",8744.0
695,0.027372978,"(-0.00042, 19.969]",8744.0
696,0.035545483,"(-0.00042, 19.969]",8744.0
697,0.037191783,"(-0.00042, 19.969]",8744.0
